state,statehouse_district_number,full_name,first,middle,surname,suffix,party_code,incumbent_status,withdrew_status,disqualified_status,notes,district_name,county_name,county,count,predicted_gender,gender_prob,party,pred.whi,pred.bla,pred.his,pred.asi,pred.oth,avg_white,avg_black,avg_his,avg_asi,avg_other,predicted_race,race_binary
NV,27,Alex Velto,Alex,NA,Velto,NA,200,0,0,0,NA,State House District 27,Washoe,031,1665200,male,0.95,2,0.14584769218811017,0.03697184645973274,0.6377197085368213,0.04270506512821194,0.1367556876871239,0.14584769218811017,0.03697184645973274,0.6377197085368213,0.04270506512821194,0.1367556876871239,Hispanic,Non-White
NV,27,Carmen Ortiz,Carmen,NA,Ortiz,NA,100,0,0,0,NA,State House District 27,Washoe,031,481673,female,0.99,1,2.293878032562952e-4,1.9548139400266368e-5,0.9983643802074559,2.1070340536180423e-4,0.0011759804445257832,2.293878032562952e-4,1.9548139400266368e-5,0.9983643802074559,2.1070340536180423e-4,0.0011759804445257832,Hispanic,Non-White
NV,28,Reuben D'Silva,Reuben,NA,D'Silva,NA,200,1,0,0,NA,State House District 28,Clark,003,24254,male,0.99,2,0.006238307625488329,0.0016275560507450623,0.032501382739907554,0.8845863592312884,0.07504639435257066,0.006238307625488329,0.0016275560507450623,0.032501382739907554,0.8845863592312884,0.07504639435257066,Asian,Non-White
NV,29,Joe Dalia,Joe,NA,Dalia,NA,200,0,0,0,NA,State House District 29,Clark,003,724158,male,0.99,2,0.2322238514362338,0.030317199504346724,0.22864889055985618,0.3690731701570764,0.1397368883424869,0.2322238514362338,0.030317199504346724,0.22864889055985618,0.3690731701570764,0.1397368883424869,Asian,Non-White
NV,29,Annette Dawson Owens,Annette,NA,Dawson Owens,NA,100,0,0,0,NA,State House District 29,Clark,003,152510,female,1,1,0.2069206473975286,0.553638399541064,0.12852459029706506,0.00983730498604032,0.10107905777830214,0.2069206473975286,0.553638399541064,0.12852459029706506,0.00983730498604032,0.10107905777830214,Black,Non-White
NV,29,Yadusha Williams,Yadusha,NA,Williams,NA,100,0,0,0,NA,State House District 29,Clark,003,1,female,1,1,0.0015436893753420667,0.07950662275433928,0.003667897252249556,0.5739352162731496,0.34134657434491955,0.0015436893753420667,0.07950662275433928,0.003667897252249556,0.5739352162731496,0.34134657434491955,Asian,Non-White
NV,30,Natha C. Anderson,Natha,C.,Anderson,NA,200,1,0,0,NA,State House District 30,Washoe,031,1879,female,0.76,2,0.7454704864317065,0.16703858097727065,0.025647862604414144,0,0.06184306998660864,0.7454704864317065,0.16703858097727065,0.025647862604414144,0,0.06184306998660864,White,White
NV,30,Morgan Kolvet,Morgan,NA,Kolvet,NA,300,0,0,0,No Political Party,State House District 30,Washoe,031,55305,male,0.64,0,0.6467380777877036,0.05837850480704861,0.08364949756371347,0.015292652243252302,0.19594126759828212,0.6467380777877036,0.05837850480704861,0.08364949756371347,0.015292652243252302,0.19594126759828212,White,White
NV,31,Jill Dickman,Jill,NA,Dickman,NA,100,1,0,0,NA,State House District 31,Washoe,031,183633,female,1,1,0.9478644819433707,1.164738849607913e-4,0.007525968854028768,0.0043122155605245256,0.04018085975711508,0.9478644819433707,1.164738849607913e-4,0.007525968854028768,0.0043122155605245256,0.04018085975711508,White,White
NV,31,Stuart MacKie,Stuart,NA,MacKie,NA,200,0,0,0,NA,State House District 31,Washoe,031,146937,male,1,2,0.8558430452668968,0.007827581482622407,0.013500578435426918,0.0034128622793745756,0.11941593253567932,0.8558430452668968,0.007827581482622407,0.013500578435426918,0.0034128622793745756,0.11941593253567932,White,White
